id	Macro	Policy	Real Yields	Macro val	Policy val	Real Yields val	Real Yields val2	Real Yields val3
ARE	0	0	0	n/a	n/a	n/a	n/a	n/a
AUS	5	4	3	55.4534	"Easing, last move easing"	0.869	1.8	2.669
AUT	5	4	1	59.3586	"Easing, last move easing"	-1.67	2.2	0.53
BEL	5	4	1	56.0292	"Easing, last move easing"	-1.399	2	0.601
BRA	2	4	5	49.5267	"Easing, last move easing"	7.177	2.7	9.877
CAN	5	1	3	54.3326	"Tightening, last move tightening"	0.548	1.4	1.948
CHE	5	4	2	61.9553	"Easing, last move easing"	-0.807	0.7	-0.107
CHL	0	4	5	n/a	"Easing, last move easing"	2.57	1.9	4.47
CHN	3	4	4	50.9855	"Easing, last move easing"	1.979	1.9	3.879
COL	0	4	5	n/a	"Easing, last move easing"	2.555	4.05	6.605
CZE	5	4	1	58.4621	"Easing, last move easing"	-1.282	2.9	1.618
DEU	5	4	1	56.6041	"Easing, last move easing"	-1.038	1.4	0.362
DNK	5	4	1	59.9396	"Easing, last move easing"	-1.041	1.5	0.459
EGY	0	0	0	n/a	n/a	n/a	n/a	n/a
ESP	0	0	0	n/a	n/a	n/a	n/a	n/a
FIN	0	0	0	n/a	n/a	n/a	n/a	n/a
FRA	5	4	1	57.3697	"Easing, last move easing"	-1.038	1.4	0.362
GBR	5	2	1	55.7544	"Tightening, last move easing"	-1.668	3	1.332
GRC	5	4	5	52.1218	"Easing, last move easing"	4.714	0.714	5.428
HUN	5	4	3	58.3	"Easing, last move easing"	0.273	2.2	2.473
IDN	3	4	5	50.1278	"Easing, last move easing"	3.186	3.58	6.766
IND	4	4	5	51.2911	"Easing, last move easing"	3.281	3.58	6.861
IRL	0	0	0	n/a	n/a	n/a	n/a	n/a
ISR	0	0	0	n/a	n/a	n/a	n/a	n/a
ITA	0	0	0	n/a	n/a	n/a	n/a	n/a
JPN	5	4	2	53.3818	"Easing, last move easing"	-0.636	0.7	0.064
KOR	3	4	3	50.1526	"Easing, last move easing"	0.756	1.8	2.556
LUX	0	0	0	n/a	n/a	n/a	n/a	n/a
MEX	2	1	3	49.1924	"Tightening, last move tightening"	0.891	6.37	7.261
MYS	2	3	2	48.6485	"Easing, last move tightening"	-0.378	4.3	3.922
NLD	5	4	2	60.4371	"Easing, last move easing"	-0.835	1.3	0.465
NOR	0	4	3	n/a	"Easing, last move easing"	0.399	1.2	1.599
NZL	5	4	4	57.2218	"Easing, last move easing"	1.066	1.9	2.966
PER	0	4	5	n/a	"Easing, last move easing"	2.304	2.99	5.294
PHL	5	3	4	53.7183	"Easing, last move tightening"	1.284	3.5	4.784
POL	5	4	4	53.4391	"Easing, last move easing"	1.334	2.1	3.434
PRT	0	0	0	n/a	n/a	n/a	n/a	n/a
QAT	0	4	0	n/a	"Easing, last move easing"	n/a	n/a	n/a
RUS	5	4	5	53.2354	"Easing, last move easing"	4.9	2.7	7.6
SGP	5	0	4	56.4027	n/a	1.743	0.4	2.143
SWE	0	4	2	n/a	"Easing, last move easing"	-0.917	1.7	0.783
THA	2	4	4	49.792	"Easing, last move easing"	1.459	0.86	2.319
TUR	5	2	2	52.7886	"Tightening, last move easing"	-0.41	11.9	11.49
TWN	5	4	4	53.5786	"Easing, last move easing"	1.35	-0.32	1.03
USA	5	1	3	55.1876	"Tightening, last move tightening"	0.3793	2	2.3793
ZAF	2	3	5	48.3641	"Easing, last move tightening"	3.99	5.1	9.09
VNM	4	0	5	51.5558	n/a	2.47	2.98	5.45
ISL	0	4	5	n/a	"Easing, last move easing"	2.95	1.9	4.85
SAU	5	4	0	61.4152	"Easing, last move easing"	n/a	n/a	n/a
